Code,Religiousness,Satisfaction with life,Emotional attachment to Europe,Emotional attachment to ones country,Feeling of safety walking alone after dark,Trust in politicians,Trust in the police,Trust in the legal system,Perceived state of health services in country nowadays,Perceived state of education in country nowadays,Happiness,Country
LT,5.093081382221566,5.826565863357832,5.214513505100309,7.859297151867,2.3141307392840216,2.2268530087979808,4.098647228615922,3.01258773580851,4.531157351051881,4.852101451818507,6.707514353622216,Lithuania
LV,3.610528374230263,6.397883447435146,4.952703065998931,7.615412512699446,2.095874941808918,1.959739030359494,3.8170493658891385,3.045597293119517,3.345987510265501,4.407523108486648,7.049685170254454,Latvia
ME,4.988644840168837,7.147401829184498,4.217291961606517,6.861124880210662,1.801386495431282,1.785080823578124,3.198471063963559,2.645946510629021,3.410523622170333,3.589027751229352,7.551773273139099,Montenegro
NL,4.18944196862122,7.447732684464233,4.955530440385287,6.514866164417095,2.060058007492438,3.5573802944512765,4.745584151525913,4.250588309913609,5.518835303425663,5.655845092151896,7.774215633740087,Netherlands
NO,2.9387574833469907,6.871872558144704,5.900081555339844,7.718636947316048,1.5448583919479957,3.166066716336865,4.204053932713016,4.175901300287549,5.957005460398177,6.281255283738994,7.177021846576251,Norway
PL,5.624862192144004,6.899489216698858,6.750954565758481,8.119308072434404,1.8565259223969617,2.34761616605588,4.189429934348629,3.253905148863529,3.72998244639722,5.380643038454073,7.189012802959224,Poland
PT,5.063480421478739,6.207343749059217,5.795433837526325,8.204361730682097,1.9576606235486844,1.9097232871982088,4.182317796696338,2.8765918184468404,4.364378851473968,4.572483506771039,7.444312287540594,Portugal
RS,5.802206847255328,5.955411678056802,3.843010071873455,7.025833990144202,2.012500819494249,1.6053768237753503,3.2112522028964325,2.521134271945249,3.2065589477819367,4.08997387440818,6.969231336740103,Republic of Serbia
SE,2.833654014561096,7.281813992816723,6.019106286501119,7.366212321838922,1.8369020015433328,3.245597600713264,4.39540321317927,3.984329536178712,4.64698759933725,4.962829637691795,7.398099455050864,Sweden
SI,4.459813990176238,7.01347368243175,5.189497779990022,7.272003945573438,1.6951328978909226,1.7547790783621864,4.140073627124546,2.5402704199084742,3.9898634836305167,4.760000363103318,7.313577275812978,Slovenia
SK,5.691170366777779,5.960778330533865,6.426782330846522,7.552282215570159,2.053992493414899,2.2933360989455016,3.3631038101048976,2.73785155522722,3.765259490176753,4.990908630946183,6.621039484042707,Slovakia
